time,phaseCurrent
0.318, 0
0.425, 0
0.531, 0
0.638, 0
0.747, 0
0.854, 0
0.963, 0
1.072, 0
1.181, 0
1.29, 0
1.4, 0
1.509, 0
1.618, 0
1.724, 0
1.834, 0
1.943, 0
2.053, 0
2.159, 0
2.268, 0
2.377, 0
2.487, 0
2.59, 0
2.697, 0
2.806, 0
2.913, 0
3.022, 0
3.129, 0
3.24, 0
3.35, 0
3.456, 0
3.563, 0
3.669, 0
3.779, 0
3.888, 0
3.994, 0
4.103, 0
4.213, 0
4.319, 0
4.426, 0
4.532, 0
4.642, 0
4.751, 0
4.857, 0
4.967, 0
5.076, 0
5.185, 0
5.294, 0
5.404, 0
5.51, 0
5.619, 0
5.729, 0
5.838, 0
5.947, 0
6.054, 0
6.163, 0
6.272, 0
6.379, 0
6.483, 0
6.592, 0
6.698, 0
6.805, 0
6.917, 0
7.026, 0
7.135, 0
7.242, 0
7.348, 0
7.455, 0
7.564, 0
7.673, 0
7.78, 0
7.889, 0
7.998, 0
8.108, 0
8.211, 0
8.321, 0
8.427, 0
8.534, 0
8.643, 0
8.75, 0
8.856, 0
8.965, 0
9.074, 0
9.184, 0
9.29, 0
9.397, 0
9.506, 0
9.615, 0
9.722, 0
9.828, 0
9.935, 0
10.042, 0
10.148, 0
10.257, 0
10.369, 0
10.478, 0
10.585, 0
10.688, 0
10.798, 0
10.902, 0
11.008, 0
11.115, 0
11.221, 0
11.33, 0
11.435, 0
11.541, 0
11.653, 0
11.762, 0
11.871, 0
11.978, 0
12.085, 0
12.193, 0
12.3, 0
12.407, 0
12.516, 0
12.625, 0
12.734, 0
12.844, 0
12.953, 0
13.062, 0
13.171, 0
13.278, 0
13.387, 0
13.496, 0
13.606, 0
13.712, 0
13.821, 0
13.931, 0
14.04, 0
14.144, 0
14.25, 0
14.359, 0
14.466, 0
14.575, 0
14.682, 0
14.794, 0
14.903, 0
15.009, 0
15.116, 0
15.223, 0
15.332, 0
15.441, 0
15.547, 0
15.657, 0
15.766, 0
15.872, 0
15.979, 0
16.085, 0
16.195, 0
16.304, 0
16.411, 0
16.52, 0
16.629, 0
16.738, 0
16.848, 0
16.957, 0
17.064, 0
17.173, 0
17.282, 0
17.391, 0
17.501, 0
17.607, 0
17.716, 0
17.825, 0
17.932, 0
18.036, 0
18.145, 0
18.252, 0
18.361, 0
18.47, 0
18.579, 0
18.688, 0
18.795, 0
18.902, 0
19.008, 0
19.117, 0
19.227, 0
19.333, 0
19.442, 0
19.551, 0
19.661, 0
19.765, 0
19.874, 0
19.98, 0
20.09, 0
20.196, 0
20.303, 0
20.415, 0
20.524, 0
20.633, 0
20.742, 0
20.852, 0
20.958, 0
21.067, 0
21.177, 0
21.286, 0
21.393, 0
21.502, 0
21.611, 0
21.72, 0
21.827, 0
21.93, 0
22.04, 0
22.146, 0
22.255, 0
22.365, 0
22.474, 0
22.583, 0
22.69, 0
22.796, 0
22.903, 0
23.012, 0
23.122, 0
23.228, 0
23.337, 0
23.446, 0
23.553, 0
23.659, 0
23.766, 0
23.875, 0
23.984, 0
24.091, 0
24.2, 0
24.309, 0
24.419, 0
24.528, 0
24.637, 0
24.744, 0
24.853, 0
24.962, 0
25.069, 0
25.181, 0
25.287, 0
25.396, 0
25.506, 0
25.612, 0
25.719, 0
25.825, 0
25.932, 0
26.041, 0
26.15, 0
26.259, 0
26.369, 0
26.478, 0
26.582, 0
26.691, 0
26.798, 0
26.907, 0
27.014, 0
27.12, 0
27.232, 0
27.341, 0
27.45, 0
27.56, 0
27.669, 0
27.775, 0
27.885, 0
27.994, 0
28.101, 0
28.204, 0
28.313, 0
28.423, 0
28.532, 0
28.639, 0
28.748, 0
28.857, 0
28.964, 0
29.073, 0
29.182, 0
29.289, 0
29.4, 0
29.507, 0
29.613, 0
29.723, 0
29.832, 0
29.939, 0
30.045, 0
30.154, 0
30.264, 0
30.37, 0
30.474, 0
30.583, 0
30.69, 0
30.799, 0
30.908, 0
31.017, 0
31.127, 0
31.233, 0
31.34, 0
31.449, 0
31.555, 0
31.662, 0
31.771, 0
31.88, 0
31.99, 0
32.099, 0
32.208, 0
32.317, 0
32.427, 0
32.533, 0
32.643, 0
32.752, 0
32.861, 0
32.967, 0
33.077, 0
33.186, 0
33.295, 0
33.399, 0
33.506, 0
33.615, 0
33.722, 0
33.831, 0
33.94, 0
34.049, 0
34.158, 0
34.265, 0
34.369, 0
34.478, 0
34.585, 0
34.694, 0
34.803, 0
34.912, 0
35.021, 0
35.128, 0
35.234, 0
35.344, 0
35.45, 0
35.557, 0
35.666, 0
35.775, 0
35.884, 0
35.994, 0
36.103, 0
36.212, 0
36.319, 0
36.428, 0
36.537, 0
36.647, 0
36.756, 0
36.862, 0
36.971, 0
37.081, 0
37.187, 0
